Method,CSA,Control Entropy (H_C),Weighted Control Potential (WCP),Robustness (R - degree)
Baseline,1.0000,2.9957,7.4872,0.3218
RCP,1.0000,2.9957,8.6830,0.3866
Bi-level,1.0000,2.9957,8.8209,0.3616
Bimodal+Random,1.0000,2.9957,7.4710,0.3896
Random+RL,0.9999,2.9668,7.3054,0.4259
GA+RL,1.0000,2.9957,7.2475,0.4280
Onion+Ra,1.0000,2.9957,6.9111,0.4392
Onion+RL,1.0000,2.9957,7.6550,0.4546
SOLO+Ra,1.0000,2.9957,6.7413,0.4334
SOLO+RL,1.0000,2.9957,7.0565,0.4229
ROMEN+Ra,1.0000,2.9957,7.4655,0.3244
ROMEN+RL,1.0000,2.9957,8.6948,0.3818
