Method,Mean,Std
Baseline,0.4945,0.0924
RCP,0.7700,0.0000
Bi-level,0.5100,0.0000
Bimodal+Random,0.5945,0.0616
Random+RL,0.7210,0.1703
GA+RL,0.6975,0.1665
Onion+Ra,0.6931,0.0416
Onion+RL,0.7482,0.0574
SOLO+Ra,0.6808,0.0583
SOLO+RL,0.6727,0.1425
ROMEN+Ra,0.5065,0.1029
ROMEN+RL,0.7650,0.0000
