Method,Nodes,Edges,Top-10 Degrees,CSA,Control Entropy (H_C),Weighted Control Potential (WCP),Robustness (R - degree)
Baseline,50,141,[22; 16; 16; 12; 12; 10; 10; 9; 8; 7],0.6321,1.6094,2.6926,0.2423
RCP,50,141,[22; 16; 16; 12; 12; 10; 10; 9; 8; 7],0.6321,1.6094,3.0852,0.5000
Bi-level,50,141,[17; 15; 13; 12; 11; 10; 8; 7; 7; 7],0.6321,1.6094,2.6963,0.4249
Bimodal+Random,50,141,[17; 15; 13; 12; 11; 10; 8; 7; 7; 7],0.6321,1.6094,2.6407,0.3425
Random+RL,50,141,[12; 11; 11; 10; 9; 9; 9; 8; 8; 8],0.6321,1.6094,2.5963,0.4834
GA+RL,50,141,[8; 8; 8; 7; 7; 7; 7; 7; 6; 6],0.6321,1.6094,2.4537,0.4476
Onion+Ra,50,141,[22; 16; 16; 12; 12; 10; 10; 9; 8; 7],0.6321,1.6094,2.6481,0.5000
Onion+RL,50,141,[22; 16; 16; 12; 12; 10; 10; 9; 8; 7],0.6321,1.6094,2.5563,0.4896
SOLO+Ra,50,141,[9; 8; 8; 8; 8; 8; 7; 7; 7; 7],0.6321,1.6094,2.2796,0.3773
SOLO+RL,50,141,[9; 8; 8; 8; 8; 8; 7; 7; 7; 7],0.6321,1.6094,2.4870,0.3618
ROMEN+Ra,50,141,[22; 16; 16; 12; 12; 10; 10; 9; 8; 7],0.6321,1.6094,2.4889,0.2423
ROMEN+RL,50,141,[22; 16; 16; 12; 12; 10; 10; 9; 8; 7],0.6321,1.6094,3.0852,0.5000
BimodalRL,50,141,[22; 16; 16; 12; 12; 10; 10; 9; 8; 7],0.6321,1.6094,3.0852,0.5000
UNITY+Ra,50,141,[9; 8; 8; 8; 8; 8; 7; 7; 7; 7],0.6321,1.6094,2.1867,0.4297
UNITY+RL,50,141,[9; 8; 8; 8; 8; 8; 7; 7; 7; 7],0.6321,1.6094,2.3822,0.4427
