Method,Mean,Std
Baseline,0.4687,0.0000
RCP,0.4928,0.0000
Bi-level,0.4525,0.0000
Bimodal+Random,0.4914,0.0000
Random+RL,0.4587,0.0000
GA+RL,0.4613,0.0000
Onion+Ra,0.4533,0.0000
Onion+RL,0.4229,0.0000
SOLO+Ra,0.4948,0.0000
SOLO+RL,0.4789,0.0000
ROMEN+Ra,0.4900,0.0000
ROMEN+RL,0.4661,0.0000
