Method,CSA,Control Entropy (H_C),Weighted Control Potential (WCP),Robustness (R - random)
Baseline,0.9179,1.6094,2.6148,0.4687
RCP,0.9179,1.6094,2.9556,0.4928
Bi-level,0.9179,1.6094,3.1407,0.4525
Bimodal+Random,0.9179,1.6094,2.3926,0.4914
Random+RL,0.9179,1.6094,2.7204,0.4587
GA+RL,0.9179,1.6094,2.4963,0.4613
Onion+Ra,0.9179,1.6094,2.3581,0.4533
Onion+RL,0.9179,1.6094,2.4089,0.4229
SOLO+Ra,0.9179,1.6094,2.2426,0.4948
SOLO+RL,0.9179,1.6094,2.5037,0.4789
ROMEN+Ra,0.9179,1.6094,2.5481,0.4900
ROMEN+RL,0.9179,1.6094,2.9296,0.4661
