Method,CSA,Control Entropy (H_C),Weighted Control Potential (WCP),Robustness (R - random)
Baseline,0.6321,1.6094,2.5159,0.4545
RCP,0.6321,1.6094,2.9556,0.4660
Bi-level,0.6321,1.6094,2.8611,0.4757
Bimodal+Random,0.6321,1.6094,2.3545,0.4495
Random+RL,0.6321,1.6094,2.7270,0.4658
GA+RL,0.6321,1.6094,2.5315,0.4651
Onion+Ra,0.6321,1.6094,2.2999,0.4505
Onion+RL,0.6321,1.6094,2.5920,0.4606
SOLO+Ra,0.6321,1.6094,2.3482,0.4451
SOLO+RL,0.6321,1.6094,2.5057,0.4687
ROMEN+Ra,0.6321,1.6094,2.3619,0.4713
ROMEN+RL,0.6321,1.6094,2.9556,0.4630
BimodalRL,0.6321,1.6094,2.9556,0.4583
