Method,Mean,Std
Baseline,0.4545,0.0151
RCP,0.4660,0.0206
Bi-level,0.4757,0.0074
Bimodal+Random,0.4495,0.0263
Random+RL,0.4658,0.0176
GA+RL,0.4651,0.0120
Onion+Ra,0.4505,0.0152
Onion+RL,0.4606,0.0155
SOLO+Ra,0.4451,0.0326
SOLO+RL,0.4687,0.0155
ROMEN+Ra,0.4713,0.0103
ROMEN+RL,0.4630,0.0256
BimodalRL,0.4583,0.0202
