Method,CSA,Control Entropy (H_C),Weighted Control Potential (WCP),Robustness (R - random)
Baseline,0.9592,2.7726,2.6380,0.2240
RCP,0.9592,2.7726,3.0721,0.2797
Bi-level,0.1707,0.7376,0.5210,0.3360
Bimodal+Random,0.1707,0.7376,0.3949,0.3296
Random+RL,0.1786,0.1184,0.3291,0.3867
GA+RL,0.9033,2.5462,2.4407,0.3079
Onion+Ra,0.9435,2.6966,2.2879,0.2800
Onion+RL,0.9446,2.7109,2.3710,0.2818
SOLO+Ra,0.9592,2.7726,2.3800,0.3331
SOLO+RL,0.9592,2.7726,2.6542,0.3282
ROMEN+Ra,0.9592,2.7726,2.6368,0.2724
ROMEN+RL,0.9592,2.7726,3.1088,0.3301
BimodalRL,0.9592,2.7726,3.1088,0.3035
