Method,Mean,Std
Baseline,0.3922,0.1377
RCP,0.5294,0.1070
Bi-level,0.8013,0.0660
Bimodal+Random,0.7425,0.1913
Random+RL,0.7961,0.1438
GA+RL,0.5242,0.0892
Onion+Ra,0.5190,0.1787
Onion+RL,0.6013,0.0616
SOLO+Ra,0.6144,0.0580
SOLO+RL,0.5503,0.0847
ROMEN+Ra,0.4863,0.1423
ROMEN+RL,0.5712,0.0732
BimodalRL,0.4954,0.1313
