Method,Mean,Std
Baseline,0.2240,0.0688
RCP,0.2797,0.0819
Bi-level,0.3360,0.0233
Bimodal+Random,0.3296,0.0446
Random+RL,0.3867,0.0273
GA+RL,0.3079,0.0374
Onion+Ra,0.2800,0.0927
Onion+RL,0.2818,0.0259
SOLO+Ra,0.3331,0.0484
SOLO+RL,0.3282,0.0272
ROMEN+Ra,0.2724,0.0651
ROMEN+RL,0.3301,0.0591
BimodalRL,0.3035,0.0798
