Method,Mean,Std
Baseline,0.3791,0.0000
RCP,0.5163,0.0000
Bi-level,0.6275,0.0000
Bimodal+Random,0.6144,0.0000
Random+RL,0.7647,0.0000
GA+RL,0.6275,0.0000
Onion+Ra,0.7124,0.0000
Onion+RL,0.6405,0.0000
SOLO+Ra,0.6993,0.0000
SOLO+RL,0.3268,0.0000
ROMEN+Ra,0.5425,0.0000
ROMEN+RL,0.5490,0.0000
