Method,Mean,Std
Baseline,0.1512,0.0000
RCP,0.2677,0.0000
Bi-level,0.3279,0.0000
Bimodal+Random,0.1877,0.0000
Random+RL,0.3878,0.0000
GA+RL,0.3929,0.0000
Onion+Ra,0.4047,0.0000
Onion+RL,0.4528,0.0000
SOLO+Ra,0.1820,0.0000
SOLO+RL,0.2739,0.0000
ROMEN+Ra,0.1896,0.0000
ROMEN+RL,0.2566,0.0000
