Method,Mean,Std
Baseline,0.3706,0.0000
RCP,0.5431,0.0000
Bi-level,0.6091,0.0000
Bimodal+Random,0.3604,0.0000
Random+RL,0.8985,0.0000
GA+RL,0.7056,0.0000
Onion+Ra,0.7157,0.0000
Onion+RL,0.8122,0.0000
SOLO+Ra,0.2792,0.0000
SOLO+RL,0.3909,0.0000
ROMEN+Ra,0.4975,0.0000
ROMEN+RL,0.5025,0.0000
