Method,CSA,Control Entropy (H_C),Weighted Control Potential (WCP),Robustness (R - degree)
Baseline,1.0000,2.9957,2.6207,0.1512
RCP,1.0000,2.9957,2.9727,0.2677
Bi-level,1.0000,2.9957,4.6786,0.3279
Bimodal+Random,1.0000,2.9957,4.2588,0.1877
Random+RL,0.3890,0.0352,0.2905,0.3878
GA+RL,0.9962,2.7748,3.1998,0.3929
Onion+Ra,1.0000,2.9957,2.6428,0.4047
Onion+RL,1.0000,2.9957,3.0147,0.4528
SOLO+Ra,1.0000,2.9957,3.2614,0.1820
SOLO+RL,1.0000,2.9957,3.4420,0.2739
ROMEN+Ra,1.0000,2.9957,2.6496,0.1896
ROMEN+RL,1.0000,2.9957,2.8940,0.2566
