Method,Mean,Std
Baseline,0.4791,0.1128
RCP,0.4481,0.0676
Bi-level,0.7146,0.0362
Bimodal+Random,0.7196,0.1043
Random+RL,0.6424,0.1710
GA+RL,0.6013,0.0593
Onion+Ra,0.5816,0.0795
Onion+RL,0.5759,0.1424
SOLO+Ra,0.5329,0.0821
SOLO+RL,0.5456,0.1249
ROMEN+Ra,0.4956,0.1931
ROMEN+RL,0.4715,0.0967
