Method,CSA,Control Entropy (H_C),Weighted Control Potential (WCP),Robustness (R - random)
Baseline,0.9997,2.7726,2.0360,0.2449
RCP,0.9997,2.7726,2.2235,0.2389
Bi-level,0.9720,2.5049,3.1080,0.3946
Bimodal+Random,0.9731,2.4791,2.5808,0.3978
Random+RL,0.5251,0.5046,0.4669,0.3485
GA+RL,0.9910,2.4832,2.3886,0.3525
Onion+Ra,0.9997,2.7726,1.9828,0.2802
Onion+RL,0.9997,2.7726,2.0723,0.2716
SOLO+Ra,0.9971,2.7611,2.5820,0.3224
SOLO+RL,0.9971,2.7611,2.8242,0.3158
ROMEN+Ra,0.9997,2.7726,2.0367,0.2374
ROMEN+RL,0.9997,2.7726,2.2414,0.2565
