Method,Mean,Std
Baseline,0.2449,0.0484
RCP,0.2389,0.0386
Bi-level,0.3946,0.0160
Bimodal+Random,0.3978,0.0234
Random+RL,0.3485,0.0393
GA+RL,0.3525,0.0270
Onion+Ra,0.2802,0.0358
Onion+RL,0.2716,0.0620
SOLO+Ra,0.3224,0.0275
SOLO+RL,0.3158,0.0455
ROMEN+Ra,0.2374,0.0770
ROMEN+RL,0.2565,0.0514
