Method,Nodes,Edges,Top-10 Degrees,CSA,Control Entropy (H_C),Weighted Control Potential (WCP),Robustness (R - degree)
Baseline,50,141,[18; 17; 17; 14; 12; 11; 9; 8; 7; 7],0.6321,1.6094,2.5500,0.2993
RCP,50,141,[18; 17; 17; 14; 12; 11; 9; 8; 7; 7],0.6321,1.6094,2.9204,0.2849
Bi-level,50,141,[17; 15; 13; 12; 11; 10; 8; 7; 7; 7],0.6321,1.6094,2.6963,0.4249
Bimodal+Random,50,141,[17; 15; 13; 12; 11; 10; 8; 7; 7; 7],0.6321,1.6094,2.1156,0.3089
Random+RL,50,141,[10; 9; 9; 9; 8; 8; 8; 8; 8; 8],0.6321,1.6094,2.5278,0.2466
GA+RL,50,141,[7; 7; 7; 7; 7; 7; 7; 7; 7; 6],0.6321,1.6094,2.4556,0.4485
Onion+Ra,50,141,[18; 17; 17; 14; 12; 11; 9; 8; 7; 7],0.6321,1.6094,2.2619,0.4735
Onion+RL,50,141,[18; 17; 17; 14; 12; 11; 9; 8; 7; 7],0.6321,1.6094,2.6730,0.4735
SOLO+Ra,50,141,[10; 8; 8; 8; 7; 7; 7; 7; 7; 7],0.6321,1.6094,2.3370,0.4361
SOLO+RL,50,141,[10; 8; 8; 8; 7; 7; 7; 7; 7; 7],0.6321,1.6094,2.4719,0.3351
ROMEN+Ra,50,141,[18; 17; 17; 14; 12; 11; 9; 8; 7; 7],0.6321,1.6094,2.2500,0.2343
ROMEN+RL,50,141,[18; 17; 17; 14; 12; 11; 9; 8; 7; 7],0.6321,1.6094,2.8815,0.4722
BimodalRL,50,141,[18; 17; 17; 14; 12; 11; 9; 8; 7; 7],0.6321,1.6094,2.8815,0.4722
UNITY,50,140,[9; 8; 8; 7; 7; 7; 7; 7; 7; 7],0.6321,1.6094,2.3615,0.3793
