Stage,Mean Time (s),Total Time (s),Min Time (s),Max Time (s),Iterations
Construct_Random,0.0000,0.0000,0.0000,0.0000,1
Construct_BA,0.0011,0.0011,0.0011,0.0011,1
Construct_Two,0.0026,0.0026,0.0026,0.0026,1
Construct_Three,3.9808,3.9808,3.9808,3.9808,1
Construct_Onion,1.1053,1.1053,1.1053,1.1053,1
Construct_SOLO,0.0109,0.0109,0.0109,0.0109,1
Construct_ROMEN,6.3028,6.3028,6.3028,6.3028,1
Construct_BimodalRL,52.3913,52.3913,52.3913,52.3913,1
Construct_UNITY,0.0089,0.0089,0.0089,0.0089,1
Simulation_Run,1.0160,1.0160,1.0160,1.0160,1
Total_Iteration,64.8217,64.8217,64.8217,64.8217,1
