Method,Mean,Std
Baseline,0.2993,0.0000
RCP,0.2849,0.0000
Bi-level,0.4249,0.0000
Bimodal+Random,0.3089,0.0000
Random+RL,0.2466,0.0000
GA+RL,0.4485,0.0000
Onion+Ra,0.4735,0.0000
Onion+RL,0.4735,0.0000
SOLO+Ra,0.4361,0.0000
SOLO+RL,0.3351,0.0000
ROMEN+Ra,0.2343,0.0000
ROMEN+RL,0.4722,0.0000
BimodalRL,0.4722,0.0000
UNITY,0.3793,0.0000
