Method,Mean,Std
Baseline,0.1013,0.0000
RCP,0.3671,0.0000
Bi-level,0.7025,0.0000
Bimodal+Random,0.0886,0.0000
Random+RL,0.8924,0.0000
GA+RL,0.6013,0.0000
Onion+Ra,0.6203,0.0000
Onion+RL,0.7848,0.0000
SOLO+Ra,0.4430,0.0000
SOLO+RL,0.6266,0.0000
ROMEN+Ra,0.1013,0.0000
ROMEN+RL,0.4430,0.0000
