Method,CSA,Control Entropy (H_C),Weighted Control Potential (WCP),Robustness (R - degree)
Baseline,0.9592,2.7726,2.0989,0.0505
RCP,0.9592,2.7726,2.2235,0.1557
Bi-level,0.8785,2.5049,3.0891,0.3442
Bimodal+Random,0.8653,2.4205,2.2398,0.0543
Random+RL,0.1749,0.0863,0.2865,0.3754
GA+RL,0.9093,2.4849,2.4667,0.3569
Onion+Ra,0.9592,2.7726,2.0190,0.3629
Onion+RL,0.9592,2.7726,2.0638,0.4453
SOLO+Ra,0.9592,2.7726,2.7281,0.2020
SOLO+RL,0.9592,2.7726,2.9176,0.3994
ROMEN+Ra,0.9592,2.7726,2.0036,0.0505
ROMEN+RL,0.9592,2.7726,2.2252,0.1698
