Method,Mean,Std
Baseline,0.0505,0.0000
RCP,0.1557,0.0000
Bi-level,0.3442,0.0000
Bimodal+Random,0.0543,0.0000
Random+RL,0.3754,0.0000
GA+RL,0.3569,0.0000
Onion+Ra,0.3629,0.0000
Onion+RL,0.4453,0.0000
SOLO+Ra,0.2020,0.0000
SOLO+RL,0.3994,0.0000
ROMEN+Ra,0.0505,0.0000
ROMEN+RL,0.1698,0.0000
