Method,Nodes,Edges,Top-10 Degrees,CSA,Control Entropy (H_C),Weighted Control Potential (WCP),Robustness (R - degree)
Baseline,100,291,[38; 27; 21; 16; 16; 13; 13; 13; 13; 12],1.0000,1.0000,1.0000,0.5000
RCP,100,291,[38; 27; 21; 16; 16; 13; 13; 13; 13; 12],1.0000,1.0000,1.0000,0.3895
Bi-level,100,291,[84; 10; 9; 9; 9; 9; 9; 9; 9; 8],1.0000,1.0000,1.0000,0.3751
GA+RL,100,291,[8; 8; 8; 8; 8; 8; 8; 8; 8; 8],1.0000,1.0000,1.0000,0.3984
Onion+Ra,100,291,[38; 27; 21; 16; 16; 13; 13; 13; 13; 12],1.0000,1.0000,1.0000,0.5000
ROMEN+Ra,100,291,[38; 27; 21; 16; 16; 13; 13; 13; 13; 12],1.0000,1.0000,1.0000,0.5000
BimodalRL,100,291,[38; 27; 21; 16; 16; 13; 13; 13; 13; 12],1.0000,1.0000,1.0000,0.3895
UNITY+Ra,100,291,[11; 9; 9; 9; 9; 9; 9; 9; 8; 8],1.0000,1.0000,1.0000,0.5000
