Method,CSA,Control Entropy (H_C),Weighted Control Potential (WCP),Robustness (R - random)
Baseline,0.9997,2.7726,2.1104,0.2509
RCP,0.9997,2.7726,2.2235,0.2649
Bi-level,0.9720,2.5049,3.0891,0.4049
Bimodal+Random,0.9747,2.4156,2.2909,0.4130
Random+RL,0.3907,0.0744,0.2934,0.3675
GA+RL,0.9764,2.3187,2.0252,0.3888
Onion+Ra,0.9997,2.7726,2.0966,0.2927
Onion+RL,0.9997,2.7726,2.1600,0.2719
SOLO+Ra,0.9997,2.7726,2.7870,0.3589
SOLO+RL,0.9997,2.7726,2.9365,0.3616
ROMEN+Ra,0.9997,2.7726,2.1027,0.2291
ROMEN+RL,0.9997,2.7726,2.2252,0.2418
