Method,Mean,Std
Baseline,0.4937,0.0000
RCP,0.5823,0.0000
Bi-level,0.7848,0.0000
Bimodal+Random,0.7025,0.0000
Random+RL,0.7278,0.0000
GA+RL,0.6456,0.0000
Onion+Ra,0.5949,0.0000
Onion+RL,0.6203,0.0000
SOLO+Ra,0.5380,0.0000
SOLO+RL,0.6709,0.0000
ROMEN+Ra,0.5063,0.0000
ROMEN+RL,0.5823,0.0000
