Baseline,RCP,Bi-level,Bimodal+Random,Random+RL,GA+RL,Onion+Ra,Onion+RL,SOLO+Ra,SOLO+RL,ROMEN+Ra,ROMEN+RL
0.19743076888428446,0.25118960857619027,0.41052830953560654,0.4390640286473582,0.40707342011621106,0.4000534210170713,0.29494554299355896,0.327042047655511,0.4408882707986127,0.34381721544074595,0.26413276428989685,0.16806272239989192
0.23840984640331517,0.3635517994684924,0.44556506463672807,0.3505568893293095,0.3655763479122562,0.39264384487185255,0.3298538804558353,0.2798393540831494,0.3085744110625647,0.43396410071618396,0.27893610648169,0.26389173911085084
0.2052730282419711,0.3394897301923337,0.3630021845862799,0.446608215846133,0.36258479347777134,0.3143130714832665,0.3184062429620288,0.3164051844511508,0.41273638574838967,0.3121553308409531,0.16605495247961805,0.25933807035719114
0.3088504121435971,0.300646840232422,0.422950114859691,0.34096033962434125,0.38324947074456106,0.37948696004684473,0.2912328498716274,0.40984930858970325,0.2990085131300392,0.3812963605243007,0.2893242646727625,0.2788067204179992
0.3304744155668664,0.23861925138507276,0.4188622359353182,0.3928014954281339,0.4003495563262916,0.2994273230935544,0.3200345029503176,0.298124431331922,0.3616758028917617,0.35669280663033187,0.25143734516463223,0.3289194630872483
0.21909645961893606,0.3028539480203594,0.40899781541372005,0.398499436962299,0.38523330030178826,0.31168141074726363,0.3859065582631413,0.2784430205846583,0.35689550020269356,0.3387273546236656,0.312588014053421,0.2758506598801855
0.2524024143056619,0.2962000360344128,0.4496673348047385,0.38941320210801317,0.288153596684834,0.38998869420296384,0.3165470249087879,0.22898004594387644,0.39456152875996575,0.3639480879239674,0.3132814062429619,0.23434493941714338
0.2507358227106887,0.37224271429214895,0.38762154857889286,0.42550608080717073,0.38528266744741224,0.3956617269492365,0.3415684203414261,0.24816882122426917,0.29751299491013916,0.3859674113778659,0.25778169902256654,0.2783730687806856
0.32641621999009063,0.31280413044457456,0.4073987883428674,0.38033703436782135,0.3598328453673258,0.3952822170172515,0.33902013422818794,0.31545973154362417,0.2755736903743075,0.38219722084590785,0.2622476690239179,0.3051060988243772
0.288140691860727,0.25533595333543535,0.40836385748389714,0.39390840502680063,0.4213357281203549,0.3637995360569343,0.32700274762398085,0.35386419530651775,0.2931246565470024,0.3895147741092744,0.1738339714427278,0.27727861357596506
