Method,CSA,Control Entropy (H_C),Weighted Control Potential (WCP),Robustness (R - random)
Baseline,0.9994,2.7081,2.3971,0.2617
RCP,0.9994,2.7081,2.5792,0.3033
Bi-level,0.9940,2.5684,3.5935,0.4123
Bimodal+Random,0.9940,2.5684,3.1612,0.3958
Random+RL,0.6611,0.8679,0.7563,0.3759
GA+RL,0.9892,2.5275,2.8004,0.3642
Onion+Ra,0.9994,2.7081,2.3386,0.3265
Onion+RL,0.9994,2.7081,2.4131,0.3056
SOLO+Ra,0.9994,2.7081,2.8302,0.3441
SOLO+RL,0.9994,2.7081,3.0982,0.3688
ROMEN+Ra,0.9994,2.7081,2.4182,0.2570
ROMEN+RL,0.9994,2.7081,2.6433,0.2670
