Method,Mean,Std
Baseline,0.4866,0.0932
RCP,0.5242,0.0814
Bi-level,0.7255,0.0587
Bimodal+Random,0.7148,0.1079
Random+RL,0.7094,0.1408
GA+RL,0.6174,0.1076
Onion+Ra,0.6550,0.0622
Onion+RL,0.5960,0.0926
SOLO+Ra,0.5872,0.1071
SOLO+RL,0.5839,0.0813
ROMEN+Ra,0.4745,0.1270
ROMEN+RL,0.5000,0.1042
