Method,Mean,Std
Baseline,0.2617,0.0466
RCP,0.3033,0.0436
Bi-level,0.4123,0.0240
Bimodal+Random,0.3958,0.0327
Random+RL,0.3759,0.0348
GA+RL,0.3642,0.0379
Onion+Ra,0.3265,0.0252
Onion+RL,0.3056,0.0495
SOLO+Ra,0.3441,0.0546
SOLO+RL,0.3688,0.0320
ROMEN+Ra,0.2570,0.0480
ROMEN+RL,0.2670,0.0408
