Method,CSA,Control Entropy (H_C),Weighted Control Potential (WCP),Robustness (R - random)
Baseline,0.9592,2.7726,2.6378,0.2664
RCP,0.9592,2.7726,3.0721,0.3215
Bi-level,0.1707,0.7376,0.5182,0.3390
Bimodal+Random,0.1707,0.7376,0.4176,0.3075
Random+RL,0.1765,0.1298,0.3032,0.3773
GA+RL,0.8895,2.4370,2.2201,0.3425
Onion+Ra,0.9446,2.7109,2.3223,0.2908
Onion+RL,0.9446,2.7109,2.3642,0.2534
SOLO+Ra,0.9592,2.7726,2.5201,0.2974
SOLO+RL,0.9592,2.7726,2.7339,0.2747
ROMEN+Ra,0.9592,2.7726,2.6258,0.2426
ROMEN+RL,0.9592,2.7726,3.1088,0.2954
