Method,Mean,Std
Baseline,0.2664,0.0683
RCP,0.3215,0.0657
Bi-level,0.3390,0.0238
Bimodal+Random,0.3075,0.0586
Random+RL,0.3773,0.0372
GA+RL,0.3425,0.0283
Onion+Ra,0.2908,0.0583
Onion+RL,0.2534,0.0576
SOLO+Ra,0.2974,0.0436
SOLO+RL,0.2747,0.0693
ROMEN+Ra,0.2426,0.0593
ROMEN+RL,0.2954,0.0561
