Method,Mean,Std
Baseline,0.4908,0.1242
RCP,0.5686,0.1150
Bi-level,0.7928,0.0763
Bimodal+Random,0.7020,0.1886
Random+RL,0.8196,0.1551
GA+RL,0.5863,0.0596
Onion+Ra,0.5863,0.1427
Onion+RL,0.5046,0.1035
SOLO+Ra,0.4758,0.1058
SOLO+RL,0.4529,0.1444
ROMEN+Ra,0.4222,0.1094
ROMEN+RL,0.5497,0.1073
