x_val,y_val
0.0,0.8646647167633863
0.01,0.8347011117784144
0.02,0.8347011117784144
0.03,0.8347011117784144
0.04,0.8347011117784144
0.05,0.8347011117784144
0.06,0.8347011117784143
0.07,0.798103482005345
0.08,0.753403036058394
0.09,0.753403036058394
0.1,0.753403036058394
0.11,0.6988057880877975
0.12,0.6321205588285587
0.13,0.6321205588285586
0.14,0.6321205588285586
0.15,0.5506710358827788
0.16,0.45118836390597344
0.17,0.32967995396436117
0.2,0.3296799539643611
0.21,0.3296799539643611
0.22,0.3296799539643611
0.23,0.18126924692201793
0.25,0.18126924692201793
0.26,0.18126924692201793
0.27,0.18126924692201796
0.28,0.18126924692201796
0.29,0.18126924692201796
0.31,0.18126924692201798
0.32,0.18126924692201798
0.34,0.181269246922018
0.35,0.181269246922018
0.36,0.181269246922018
0.37,0.18126924692201804
0.38,0.18126924692201804
0.39,0.18126924692201804
0.4,0.18126924692201807
0.41,0.18126924692201807
0.42,0.1812692469220181
0.44,0.18126924692201812
0.45,0.18126924692201812
0.46,0.18126924692201815
0.47,0.18126924692201815
0.48,0.18126924692201818
0.5,0.1812692469220182
0.51,0.1812692469220182
0.56,0.18126924692201826
0.57,0.18126924692201826
0.58,0.18126924692201826
0.64,0.18126924692201826
0.65,0.18126924692201826
0.67,0.18126924692201826
0.75,0.18126924692201826
0.77,0.18126924692201826
0.85,0.18126924692201823
0.86,0.0
1.0,0.0
