x_val,y_val
0.0,0.8646647167633863
0.01,0.8347011117784144
0.02,0.7981034820053451
0.03,0.7534030360583936
0.04,0.6988057880877974
0.05,0.6321205588285588
0.06,0.6321205588285588
0.07,0.5506710358827788
0.08,0.45118836390597317
0.1,0.4511883639059732
0.11,0.4511883639059733
0.14,0.4511883639059734
0.16,0.45118836390597344
0.17,0.4511883639059735
0.19,0.32967995396436117
0.21,0.3296799539643611
0.22,0.3296799539643611
0.23,0.3296799539643611
0.24,0.32967995396436106
0.26,0.32967995396436106
0.27,0.18126924692201796
0.28,0.18126924692201796
0.3,0.18126924692201796
0.32,0.18126924692201798
0.33,0.18126924692201798
0.65,0.18126924692201826
0.71,0.18126924692201826
0.95,0.18126924692201818
0.96,0.0
1.0,0.0
