x_val,y_val
0.0,2.3025850929940455
0.01,2.1972245773362196
0.02,2.0794415416798357
0.03,1.945910149055313
0.04,1.7917594692280547
0.05,1.6094379124341005
0.06,1.6094379124341005
0.07,1.3862943611198906
0.08,1.0986122886681096
0.1,1.0986122886681096
0.11,1.0986122886681096
0.14,1.0986122886681096
0.16,1.0986122886681096
0.17,1.0986122886681096
0.19,0.6931471805599453
0.21,0.6931471805599453
0.22,0.6931471805599453
0.23,0.6931471805599453
0.24,0.6931471805599453
0.26,0.6931471805599453
0.27,-0.0
0.28,-0.0
0.3,-0.0
0.32,-0.0
0.33,-0.0
0.65,-0.0
0.71,-0.0
0.95,-0.0
0.96,0.0
1.0,0.0
