x_val,nn
0.0,1.0
0.006535947712418301,0.9673202614379085
0.0196078431372549,0.954248366013072
0.026143790849673203,0.9477124183006536
0.0457516339869281,0.9281045751633987
0.05228758169934641,0.9215686274509803
0.058823529411764705,0.9084967320261438
0.0718954248366013,0.9019607843137255
0.0784313725490196,0.803921568627451
0.08496732026143791,0.803921568627451
0.0915032679738562,0.6013071895424836
0.09803921568627451,0.6013071895424836
0.29411764705882354,0.49673202614379086
0.3006535947712418,0.48366013071895425
0.30718954248366015,0.47058823529411764
0.3137254901960784,0.47058823529411764
0.3202614379084967,0.41830065359477125
0.39869281045751637,0.20915032679738563
0.40522875816993464,0.20915032679738563
0.4117647058823529,0.1830065359477124
0.4127647058823529,0.0
1.0,0.0
