Method,Mean,Std
Baseline,0.7980,0.0951
RCP,0.7778,0.0452
Bi-level,0.7812,0.0283
Bimodal+Random,0.7568,0.0721
Random+RL,0.7728,0.0509
GA+RL,0.7730,0.0812
Onion+Ra,0.7506,0.0658
Onion+RL,0.7800,0.0899
SOLO+Ra,0.7454,0.0672
SOLO+RL,0.7556,0.0671
ROMEN+Ra,0.7698,0.0836
ROMEN+RL,0.7862,0.0715
