Method,CSA,Control Entropy (H_C),Weighted Control Potential (WCP),Robustness (R - random)
Baseline,0.9933,2.3026,4.2479,0.4657
RCP,0.9933,2.3026,5.2028,0.4691
Bi-level,0.9933,2.3026,5.1750,0.4695
Bimodal+Random,0.9933,2.3026,4.2033,0.4580
Random+RL,0.9927,2.2878,4.3298,0.4652
GA+RL,0.9933,2.3026,4.2157,0.4646
Onion+Ra,0.9933,2.3026,3.9287,0.4539
Onion+RL,0.9933,2.3026,4.4112,0.4583
SOLO+Ra,0.9933,2.3026,3.8934,0.4582
SOLO+RL,0.9933,2.3026,4.1104,0.4610
ROMEN+Ra,0.9933,2.3026,4.2797,0.4607
ROMEN+RL,0.9933,2.3026,5.1491,0.4685
