Method,Mean,Std
Baseline,0.3804,0.0000
RCP,0.4641,0.0000
Bi-level,0.4040,0.0000
Bimodal+Random,0.4253,0.0000
Random+RL,0.3827,0.0000
GA+RL,0.3972,0.0000
Onion+Ra,0.4258,0.0000
Onion+RL,0.4491,0.0000
SOLO+Ra,0.3680,0.0000
SOLO+RL,0.4026,0.0000
ROMEN+Ra,0.4621,0.0000
ROMEN+RL,0.4757,0.0000
