Method,CSA,Control Entropy (H_C),Weighted Control Potential (WCP),Robustness (R - random)
Baseline,0.6321,1.6094,1.9595,0.3804
RCP,0.6321,1.6094,2.8874,0.4641
Bi-level,0.6321,1.6094,2.3325,0.4040
Bimodal+Random,0.6321,1.6094,1.8959,0.4253
Random+RL,0.3297,0.6931,1.0023,0.3827
GA+RL,0.6321,1.6094,2.0167,0.3972
Onion+Ra,0.5407,1.4179,1.6441,0.4258
Onion+RL,0.5407,1.4179,2.5676,0.4491
SOLO+Ra,0.6321,1.6094,1.7359,0.3680
SOLO+RL,0.6321,1.6094,1.9036,0.4026
ROMEN+Ra,0.6321,1.6094,2.1937,0.4621
ROMEN+RL,0.6321,1.6094,2.9279,0.4757
