Method,Mean,Std
Baseline,0.3853,0.0728
RCP,0.5431,0.0000
Bi-level,0.5736,0.0000
Bimodal+Random,0.3802,0.1434
Random+RL,0.4091,0.2902
GA+RL,0.5122,0.0941
Onion+Ra,0.6467,0.0501
Onion+RL,0.6975,0.0372
SOLO+Ra,0.3934,0.1112
SOLO+RL,0.4919,0.1330
ROMEN+Ra,0.3766,0.0798
ROMEN+RL,0.5228,0.0000
