Method,Mean,Std
Baseline,0.1534,0.0318
RCP,0.2677,0.0000
Bi-level,0.3033,0.0000
Bimodal+Random,0.1708,0.0505
Random+RL,0.2221,0.0991
GA+RL,0.2951,0.0476
Onion+Ra,0.3951,0.0195
Onion+RL,0.4293,0.0077
SOLO+Ra,0.2269,0.0555
SOLO+RL,0.2765,0.0696
ROMEN+Ra,0.1553,0.0307
ROMEN+RL,0.2584,0.0000
