Method,Mean,Std
Baseline,0.2800,0.0000
RCP,1.0000,0.0000
Bi-level,0.8800,0.0000
Bimodal+Random,0.5800,0.0000
Random+RL,0.9800,0.0000
GA+RL,0.4400,0.0000
Onion+Ra,1.0000,0.0000
Onion+RL,0.7200,0.0000
SOLO+Ra,0.6000,0.0000
SOLO+RL,0.6400,0.0000
ROMEN+Ra,0.2800,0.0000
ROMEN+RL,0.2600,0.0000
BimodalRL,0.2600,0.0000
UNITY,0.7800,0.0000
