Method,Nodes,Edges,Top-10 Degrees,CSA,Control Entropy (H_C),Weighted Control Potential (WCP),Robustness (R - degree)
Baseline,50,141,[22; 15; 15; 14; 13; 13; 11; 8; 7; 7],0.6321,1.6094,2.2556,0.2055
RCP,50,141,[22; 15; 15; 14; 13; 13; 11; 8; 7; 7],0.6321,1.6094,3.1148,0.4992
Bi-level,50,141,[17; 15; 13; 12; 11; 10; 8; 7; 7; 7],0.6321,1.6094,2.6963,0.4249
Bimodal+Random,50,141,[17; 15; 13; 12; 11; 10; 8; 7; 7; 7],0.6321,1.6094,2.4426,0.3675
Random+RL,50,141,[12; 11; 10; 8; 8; 8; 8; 8; 8; 8],0.5507,1.3863,2.2407,0.4802
GA+RL,50,141,[8; 7; 7; 7; 7; 7; 6; 6; 6; 6],0.6321,1.6094,2.4722,0.3372
Onion+Ra,50,141,[22; 15; 15; 14; 13; 13; 11; 8; 7; 7],0.6321,1.6094,2.2385,0.4896
Onion+RL,50,141,[22; 15; 15; 14; 13; 13; 11; 8; 7; 7],0.6321,1.6094,2.4574,0.4581
SOLO+Ra,50,141,[8; 8; 8; 8; 7; 7; 7; 7; 7; 7],0.6321,1.6094,2.2467,0.4075
SOLO+RL,50,141,[8; 8; 8; 8; 7; 7; 7; 7; 7; 7],0.6321,1.6094,2.3900,0.4238
ROMEN+Ra,50,141,[22; 15; 15; 14; 13; 13; 11; 8; 7; 7],0.6321,1.6094,2.3759,0.2065
ROMEN+RL,50,141,[22; 15; 15; 14; 13; 13; 11; 8; 7; 7],0.6321,1.6094,2.9630,0.2182
BimodalRL,50,141,[22; 15; 15; 14; 13; 13; 11; 8; 7; 7],0.6321,1.6094,2.9630,0.2182
UNITY,50,141,[8; 8; 7; 7; 7; 7; 7; 7; 7; 7],0.6321,1.6094,2.3970,0.4594
