Stage,Mean Time (s),Total Time (s),Min Time (s),Max Time (s),Iterations
Construct_Random,0.0010,0.0010,0.0010,0.0010,1
Construct_BA,0.0010,0.0010,0.0010,0.0010,1
Construct_Two,0.0010,0.0010,0.0010,0.0010,1
Construct_Three,3.8977,3.8977,3.8977,3.8977,1
Construct_Onion,1.0368,1.0368,1.0368,1.0368,1
Construct_SOLO,0.0084,0.0084,0.0084,0.0084,1
Construct_ROMEN,6.0896,6.0896,6.0896,6.0896,1
Construct_BimodalRL,57.3794,57.3794,57.3794,57.3794,1
Construct_UNITY,0.0108,0.0108,0.0108,0.0108,1
Simulation_Run,1.2303,1.2303,1.2303,1.2303,1
Total_Iteration,69.6597,69.6597,69.6597,69.6597,1
