Method,Mean,Std
Baseline,0.3978,0.0000
RCP,0.4859,0.0000
Bi-level,0.3751,0.0000
GA+RL,0.3909,0.0000
Onion+Ra,0.4622,0.0000
Onion+RL,0.4759,0.0000
ROMEN+Ra,0.3417,0.0000
ROMEN+RL,0.4768,0.0000
BimodalRL,0.4768,0.0000
UNITY+Ra,0.3941,0.0000
UNITY+RL,0.4086,0.0000
