Stage,Mean Time (s),Total Time (s),Min Time (s),Max Time (s),Iterations
Construct_Random,0.0005,0.0005,0.0005,0.0005,1
Construct_BA,0.0000,0.0000,0.0000,0.0000,1
Construct_Two,0.0025,0.0025,0.0025,0.0025,1
Construct_Three,4.1040,4.1040,4.1040,4.1040,1
Construct_Onion,1.2175,1.2175,1.2175,1.2175,1
Construct_SOLO,0.0087,0.0087,0.0087,0.0087,1
Construct_ROMEN,8.0510,8.0510,8.0510,8.0510,1
Construct_BimodalRL,60.1218,60.1218,60.1218,60.1218,1
Construct_UNITY,0.0162,0.0162,0.0162,0.0162,1
Simulation_Run,1.1374,1.1374,1.1374,1.1374,1
Total_Iteration,74.6632,74.6632,74.6632,74.6632,1
