Method,Nodes,Edges,Top-10 Degrees,CSA,Control Entropy (H_C),Weighted Control Potential (WCP),Robustness (R - degree)
Baseline,50,141,[20; 18; 14; 13; 12; 11; 11; 10; 9; 6],0.6321,1.6094,2.2852,0.2313
RCP,50,141,[20; 18; 14; 13; 12; 11; 11; 10; 9; 6],0.6321,1.6094,3.0741,0.4900
Bi-level,50,141,[17; 15; 13; 12; 11; 10; 8; 7; 7; 7],0.6321,1.6094,2.6963,0.4249
Bimodal+Random,50,141,[17; 15; 13; 12; 11; 10; 8; 7; 7; 7],0.6321,1.6094,2.3778,0.4080
Random+RL,50,141,[10; 10; 10; 9; 9; 9; 9; 9; 8; 8],0.6321,1.6094,2.5389,0.4682
GA+RL,50,141,[7; 7; 7; 7; 7; 7; 7; 6; 6; 6],0.6321,1.6094,2.4981,0.4552
Onion+Ra,50,141,[20; 18; 14; 13; 12; 11; 11; 10; 9; 6],0.6321,1.6094,2.4330,0.5000
Onion+RL,50,141,[20; 18; 14; 13; 12; 11; 11; 10; 9; 6],0.6321,1.6094,2.5296,0.4653
SOLO+Ra,50,141,[7; 7; 7; 7; 7; 7; 7; 7; 7; 7],0.6321,1.6094,2.2489,0.4399
SOLO+RL,50,141,[7; 7; 7; 7; 7; 7; 7; 7; 7; 7],0.6321,1.6094,2.3630,0.3458
ROMEN+Ra,50,141,[20; 18; 14; 13; 12; 11; 11; 10; 9; 6],0.6321,1.6094,2.5444,0.4247
ROMEN+RL,50,141,[20; 18; 14; 13; 12; 11; 11; 10; 9; 6],0.6321,1.6094,2.9519,0.4632
BimodalRL,50,141,[20; 18; 14; 13; 12; 11; 11; 10; 9; 6],0.6321,1.6094,2.9519,0.4632
UNITY+Ra,50,141,[9; 9; 8; 8; 8; 8; 8; 7; 7; 7],0.6321,1.6094,2.3611,0.4586
UNITY+RL,50,141,[9; 9; 8; 8; 8; 8; 8; 7; 7; 7],0.6321,1.6094,2.4759,0.3138
