Method,Mean,Std
Baseline,0.7588,0.1024
RCP,0.7984,0.1139
Bi-level,0.8208,0.1096
Bimodal+Random,0.7776,0.1331
Random+RL,0.7704,0.0912
GA+RL,0.7624,0.1044
Onion+Ra,0.7772,0.1501
Onion+RL,0.8020,0.1211
SOLO+Ra,0.7632,0.1410
SOLO+RL,0.7760,0.1172
ROMEN+Ra,0.8120,0.1451
ROMEN+RL,0.7972,0.1135
