Method,Mean,Std
Baseline,0.4528,0.0259
RCP,0.4645,0.0219
Bi-level,0.4708,0.0218
Bimodal+Random,0.4555,0.0307
Random+RL,0.4596,0.0174
GA+RL,0.4579,0.0267
Onion+Ra,0.4481,0.0352
Onion+RL,0.4583,0.0263
SOLO+Ra,0.4531,0.0329
SOLO+RL,0.4584,0.0254
ROMEN+Ra,0.4617,0.0301
ROMEN+RL,0.4605,0.0233
