Method,CSA,Control Entropy (H_C),Weighted Control Potential (WCP),Robustness (R - random)
Baseline,0.9179,1.6094,2.4321,0.4528
RCP,0.9179,1.6094,2.9889,0.4645
Bi-level,0.9179,1.6094,3.1037,0.4708
Bimodal+Random,0.9179,1.6094,2.5603,0.4555
Random+RL,0.9126,1.5871,2.5165,0.4596
GA+RL,0.9179,1.6094,2.4687,0.4579
Onion+Ra,0.9179,1.6094,2.2786,0.4481
Onion+RL,0.9179,1.6094,2.5663,0.4583
SOLO+Ra,0.9179,1.6094,2.2848,0.4531
SOLO+RL,0.9179,1.6094,2.4065,0.4584
ROMEN+Ra,0.9179,1.6094,2.4397,0.4617
ROMEN+RL,0.9179,1.6094,2.8907,0.4605
