Method,Mean,Std
Baseline,0.4456,0.1650
RCP,1.0000,0.0000
Bi-level,0.9800,0.0000
Bimodal+Random,0.4900,0.1946
Random+RL,0.6044,0.2464
GA+RL,0.6616,0.1736
Onion+Ra,0.8244,0.0974
Onion+RL,0.8304,0.0908
SOLO+Ra,0.7080,0.1768
SOLO+RL,0.6444,0.2128
ROMEN+Ra,0.4616,0.1545
ROMEN+RL,0.2000,0.0000
