Method,Mean,Std
Baseline,0.2902,0.0574
RCP,0.5000,0.0000
Bi-level,0.4902,0.0000
Bimodal+Random,0.2954,0.0588
Random+RL,0.3677,0.0799
GA+RL,0.4145,0.0420
Onion+Ra,0.4782,0.0132
Onion+RL,0.4796,0.0107
SOLO+Ra,0.4145,0.0477
SOLO+RL,0.3945,0.0626
ROMEN+Ra,0.2967,0.0518
ROMEN+RL,0.1698,0.0000
