Method,CSA,Control Entropy (H_C),Weighted Control Potential (WCP),Robustness (R - degree)
Baseline,0.9179,1.6094,2.4167,0.2902
RCP,0.9179,1.6094,2.9889,0.5000
Bi-level,0.9179,1.6094,3.1037,0.4902
Bimodal+Random,0.9179,1.6094,2.5324,0.2954
Random+RL,0.9105,1.5782,2.5192,0.3677
GA+RL,0.9179,1.6094,2.4678,0.4145
Onion+Ra,0.9179,1.6094,2.2535,0.4782
Onion+RL,0.9179,1.6094,2.5557,0.4796
SOLO+Ra,0.9179,1.6094,2.2827,0.4145
SOLO+RL,0.9179,1.6094,2.4128,0.3945
ROMEN+Ra,0.9179,1.6094,2.4469,0.2967
ROMEN+RL,0.9179,1.6094,2.8907,0.1698
