Method,Mean,Std
Baseline,0.7600,0.0000
RCP,0.8600,0.0000
Bi-level,0.8200,0.0000
Bimodal+Random,0.7000,0.0000
Random+RL,1.0000,0.0000
GA+RL,0.6800,0.0000
Onion+Ra,0.8400,0.0000
Onion+RL,0.7200,0.0000
SOLO+Ra,0.7200,0.0000
SOLO+RL,0.8000,0.0000
ROMEN+Ra,0.7400,0.0000
ROMEN+RL,0.7600,0.0000
BimodalRL,0.7800,0.0000
UNITY,0.7800,0.0000
