Method,Nodes,Edges,Top-10 Degrees,CSA,Control Entropy (H_C),Weighted Control Potential (WCP),Robustness (R - random)
Baseline,50,141,[17; 14; 13; 13; 11; 11; 10; 10; 9; 8],0.6321,1.6094,2.4833,0.4625
RCP,50,141,[17; 14; 13; 13; 11; 11; 10; 10; 9; 8],0.6321,1.6094,3.0630,0.4811
Bi-level,50,141,[17; 15; 13; 12; 11; 10; 8; 7; 7; 7],0.6321,1.6094,2.6963,0.4769
Bimodal+Random,50,141,[17; 15; 13; 12; 11; 10; 8; 7; 7; 7],0.6321,1.6094,2.7611,0.4345
Random+RL,50,141,[9; 9; 9; 8; 8; 8; 8; 8; 7; 7],0.6321,1.6094,2.5630,0.4938
GA+RL,50,141,[7; 7; 7; 7; 7; 7; 7; 7; 6; 6],0.6321,1.6094,2.4981,0.4445
Onion+Ra,50,141,[17; 14; 13; 13; 11; 11; 10; 10; 9; 8],0.6321,1.6094,1.9785,0.4733
Onion+RL,50,141,[17; 14; 13; 13; 11; 11; 10; 10; 9; 8],0.6321,1.6094,2.3681,0.4257
SOLO+Ra,50,141,[9; 9; 9; 7; 7; 7; 7; 7; 7; 7],0.6321,1.6094,2.3611,0.4563
SOLO+RL,50,141,[9; 9; 9; 7; 7; 7; 7; 7; 7; 7],0.6321,1.6094,2.5426,0.4689
ROMEN+Ra,50,141,[17; 14; 13; 13; 11; 11; 10; 10; 9; 8],0.6321,1.6094,2.2537,0.4627
ROMEN+RL,50,141,[17; 14; 13; 13; 11; 11; 10; 10; 9; 8],0.6321,1.6094,2.9185,0.4661
BimodalRL,50,141,[17; 14; 13; 13; 11; 11; 10; 10; 9; 8],0.6321,1.6094,2.9185,0.4627
UNITY,50,141,[9; 8; 8; 8; 8; 8; 7; 7; 7; 7],0.6321,1.6094,2.3637,0.4733
