Method,Mean,Std
Baseline,0.5302,0.0000
RCP,0.4027,0.0000
Bi-level,0.6846,0.0000
Bimodal+Random,0.6913,0.0000
Random+RL,0.6309,0.0000
GA+RL,0.4362,0.0000
Onion+Ra,0.6376,0.0000
Onion+RL,0.5638,0.0000
SOLO+Ra,0.5906,0.0000
SOLO+RL,0.3624,0.0000
ROMEN+Ra,0.4631,0.0000
ROMEN+RL,0.4497,0.0000
